adult,child
We have to set the boat loose.,boat
do you want some banana .,banana
- (BIRD CALLING) - (WIND WHISTLING),bird
A night on the grog will straighten them out.,night
"Wait, watch for it.",wait
"No, wait.",wait
"get it, get it  oh play Rock.",rock
- You jump and play,jump
And that's no help at all is it.,help
and you should take my phone .,phone
My baby boy.,baby
messy with the apple juice ?,apple
Because we get no sun in this room whatsoever,sun
oh to that daddy ?,daddy
-...earlier today in Geneva.,today
foot on it to check its career towards the side.,foot
"Watch yourself, girl.",girl
don't make mommy have to take that .,mommy
- Wait.,wait
I don't want anyone's help.,help
Don't hurt her.,hurt
Does it hurt?,hurt
wait for me .,wait
jump we all jump up .,jump
just apple pie .,apple
what is that in the bottle ?,bottle
the mommy ?,mommy
- My ball!,ball
here's yours and here's mommy's ?,mommy
Put your head between your legs.,head
that's right the ball goes in the hole .,ball
flower .,flower
a clock is on the bell tower isn't it .,clock
Get out of the bath.,bath
"Yet still, as night comes round, I dread,",night
OTHER SIDE.,other
cat .,cat
"-Break a leg, big guy.",leg
- Help!,help
- (CAR STARTING),car
why don't you sit in your chair .,chair
but daddy wants to use one to put water on you .,daddy
wow should we put some pants on this man .,pants
TRUST ME.,me
"- See you at home, little girl...",home
daddy will take care of this .,daddy
back in the bath tub ?,bath
Move the car.,car
"To the radio room, to check everything.",radio
"respective light and shade effects, according to the varying lights",light
take a bath .,bath
do the bird .,bird
is that a cookie monster ?,cookie
Don't forget to pick me up while you return home,home
and there's the car ?,car
you have to move your leg .,leg
special light bulb .,light
And the hat?,hat
would you like to stop crying and sit at the table ?,table
In the Night:     p. 66.,night
I love that car.,car
I'll wait and see what happens!,wait
wait for,wait
in the box that's right .,box
watch your head .,head
put the ball in the box oh what a good .,ball
ooh mommy likes this book .,mommy
It's good that bottle of gravy.,bottle
That's the girl that,girl
"Fourth block begins. ""A-3.",block
Who needs home?,home
a baby duck says quack quack .,baby
In the kitchen.,kitchen
Get up and go to work in the kitchen,kitchen
He's crazy about car registrations.,car
But you are a clever girl.,girl
want me to hold your book ?,book
But is he home?,home
who's baby dot ?,baby
what book do you want ta look at ?,book
why she gets cereal too .,cereal
yeah build with the block !,block
Seems to me it must be slow to be a girl .,girl
"She needs your help, Alexis.",help
night brings no relief to the oppressiveness.,night
My home.,home
for my car .,car
the bed-chamber--ἐκ τυμπάνου ἔφαγον· ἐκ κυμβάλου ἔπιον· ἐκερνοφόρησα·,bed
This can't wait till you take over.,wait
My cat scares dogs!,cat
I can't find my shoe anywhere.,shoe
"Mommy, Daddy's fighting again!",mommy
"Daddy, please.",daddy
"Welcome home, Will.",home
that's a chair .,chair
just need your hand for a second .,hand
oh don't do that to your head .,head
mommy help you ?,mommy
my cat catches birds .,cat
want mommy to do it again !,mommy
does that look like a baby .,baby
Red car  it's like ours isn't it?,car
how about some hair ?,hair
He starts his car.,car
see that's the moon and this is the stars .,moon
"How's my favorite dog, huh?",dog
I think the car has a problem.,car
you want me to fix your pants !,pants
the lion .,lion
uh big bear's carrying the lantern ?,bear
- (clock chimes),clock
May I help you ? '',help
- You take the bed.,bed
- That'd explain that eye twitch.,eye
who's my baby bird ?,baby
look at the mommy ?,mommy
meow !,meow
you can make it go on mommy's leg too .,mommy
he's a happy bear .,bear
That is a nice rock.,rock
a block ?,block
i wonder what's in that book ?,book
what's a cow say ?,cow
Thank you chair.,chair
can you make the cow jump over the moon ?,cow
- Bread.,bread
more apple juice my goodness .,apple
"Look, daddy, a camera.",daddy
FIGHT THE TOE THIS WAY.,toe
I'm just a girl who's more into... surprises.,girl
hm look at that sticky hand .,hand
no more ball .,ball
it's a book .,book
that's a mouse .,mouse
It would help if we could ask someone.,help
At home.,home
get a foot ?,foot
in the sun ?,sun
"No phone calls, no visits, nothing.",phone
He's working on another book.,book
"But everything's sad, open your eyes!",eyes
I'll wait on the next.,wait
Good girl.,girl
i have to get this book .,book
Whose hand is that?,hand
Put the bread down there and go.,bread
this is a big truck with a tank on it .,truck
She's a brilliant little girl.,girl
[Phone buzzing],phone
I'm an old hand here.,hand
girl doll ?,girl
there is a sock .,sock
I do not really like the sun.,sun
This wait is killing me‎.,wait
"Softly the stealthy night descends,",night
I'll wait.,wait
the little girl jumps up and down three times !,girl
- Hi.,hi
"[Cat yowls, cage rattles]",cat
I DON'T KNOW.,don't
sun.... After the middle of the last century the insurrection against,sun
(CUTTING HAIR),hair
Does your head ache ? '',head
"Cos, cos you're going by car are you or?",car
teach mommy how to do it ?,mommy
I know you need the help.,help
"Okay, we'll wait for you in the car.",car
i don't think anything on tv interests laura .,tv
her hand and says good-bye.,hand
Dog yes.,dog
Now smile and give an okay,smile
"Girl: mommy, mommy, push me higher.",girl
I couldn't help thinking... this isn't real.,help
What you currently have in your mouth is art!,mouth
Anyone want a cup of tea?,cup
duck !,duck
- Hi.,hi
-I'II get you another dog.,dog
in the kitchen .,kitchen
duck yeah .,duck
i'm gonna eat your hand !,hand
can you show me how you feed your baby ?,baby
You'll see some of the fish.,fish
where's his nose ?,nose
you're squishing the bear or the dog !,bear
As I lie awake in the night.,night
Think I'll say good night.,night
Are you doing the bottle bank ?,bottle
baby .,baby
You better stay here and keep an eye on things:,eye
- And Toe.,toe
who's sitting in the car ?,car
Roman punches the clock tonight.,clock
i'm straightening up the kitchen .,kitchen
okay first of all we have to clear off the table .,table
Wait for the dog.,dog
little bear gets up out of bed ?,bear
- Hi.,hi
No wait.,wait
A great white bird .,bird
Light could not travel through it.,light
I need help!,help
We need another bottle of Chateau Marmont.,bottle
I want you to deal with the radio room.,radio
who's my baby ?,baby
- You afraid of the dark?,dark
hunhunh not in your pants .,pants
Give me the phone now.,phone
yeah it's not an apple mark ?,apple
you want me to take the box of blocks ?,box
dog goes bow wow .,dog
"Well, I shall feed you up.",feed
You can even have my bed.,bed
`` But take my hand .,hand
[dog barking] [chuckles] Mr. Johnson.,dog
oh that makes daddy happy !,daddy
i think this is a mommy cow though .,cow
Sing it!,sing
I really appreciate your help.,help
From today she will assist you.,today
what's a mouse do ?,mouse
go sit down on the chair ?,chair
i like my apple pie with a little ice cream ?,apple
Now put on your coat.,coat
Go get help.,help
to dash the young sun from her sky altogether.,sun
ON THOSE PRETTY LASHES.,pretty
it'll break .,break
- Today.,today
hm it's a book .,book
moon that's right .,moon
Bury the box.,box
a book ?,book
there's your baby ?,baby
- ♪ Why don't you - ♪ Kiss the girl?,girl
This hand's too good to waste on a bluff.,hand
see look at the bear toy .,bear
[baby babbling on speaker],baby
Who's this girl?,girl
(BEAR SNORTING),bear
she's gonna jump over this little girl ?,girl
no that's the girl ?,girl
Remand the truck.,truck
I better get home.,home
eye .,eye
don't yell to loud little baby ?,baby
Free as a bird.,bird
-You know what Grandma?,grandma
Do you like Star Wars?,star
- will help with the big Push.,push
Today Caroline lives alone in a room in Oxford.,today
"She's a good kitty, aren't you, Majique?",kitty
and that's the milk .,milk
that's the table .,table
a kiss for ben ?,kiss
good girl !,girl
"You know, and the moon landing?",moon
mommy can do that one right ?,mommy
Any girl will die for me,girl
Why i buy the car?,car
two fish .,fish
she's taking a bath with a ponytail .,bath
in your mouth .,mouth
I don't care. I need my hat.,hat
is that a big dog .,dog
fish right .,fish
If you take off that hat.,hat
I'm just looking for the dish on Berry.,dish
"Wait, no.",wait
"There we go, baby.",baby
Baby hacker?,baby
"Come, let me guide you with my light.",light
Poor girl,girl
Watch his leg.,leg
it's such a nice truck .,truck
Well I couldn't sleep last night.,night
where's the little bed ?,bed
"After today, won't have to do this sales job.",today
I have some fresh bread for you.,bread
She's a lotto girl.,girl
you're going to need rain shoes .,rain
I won't hurt myself.,hurt
how about if you we bring over the car ?,car
"Come on, girl.",girl
Remember I want this car any how.,car
I'm gonna do another high kick.,kick
it's gonna make your hand all sticky .,hand
You cannot break them down.,break
and the duck says .,duck
I need your help.,help
that's a clock ?,clock
show me the duck pushes the squirrel !,duck
That's my girl.,girl
you think do you think the duck sleeps in that bed .,duck
So it's at home?,home
- Just making the bed.,bed
You thick cow.,cow
where's the duck ?,duck
to have one shoe is it !,shoe
it's a car .,car
where's her ear ?,ear
yes you're a big help thank you .,help
There's nothing wrong with admitting that you need some help.,help
Getting her head in the way of the camera.,head
you want to rock your baby ?,baby
should we get our chair closer .,chair
`` Putting his head in a bees ' byke ! '',head
your chair ?,chair
you tell mommy what it is .,mommy
"Close your eyes, close your eyes.",eyes
daddy he wants you to pick him up ?,daddy
get up in the chair .,chair
show him baby bright .,baby
okay you can have a banana ?,banana
with a flower on it .,flower
Could you sing it again?,sing
What's the fish for?,fish
Because I need you keeping an eye on Rosie.,eye
right there the eyes .,eyes
Good night.,night
oh there's the is that the kitchen .,kitchen
It's right hand fretting sir.,hand
no toast here .,toast
she's awful today .,today
She's a pretty girl.,girl
"hurt the doll-baby!""",doll
More than the lion.,lion
It just means the baby gonna look like Barack.,baby
Just this one night.,night
You wouldn't get your head round it.,head
[keys jangling],keys
a block ?,block
"Is the, the cat  the cat back there?",cat
He's going to need our help.,help
mouth of the Provencals.,mouth
how can you pull a sock out of your head ?,sock
when something covers the moon ?,moon
you can wear that one today ?,today
Can I help you?,help
A kick below the belt!,kick
you could really hurt yourself trying to jump over that .,hurt
I get 22 in hand after TDS.,hand
- The dog will do it!,dog
milk ?,milk
and then i need you to dry a cup for me .,cup
Let's take a break.,break
whoa ouch ?,ouch
Give me your hand.,hand
Good night.,night
(CAR engine starting),car
you're thirsty today .,today
phone's ringin' but that's okay .,phone
that's a duck .,duck
"Go, baby, go!",baby
Going home?,home
you want to give me the apple ?,apple
"When your Car plunges like a Catapult,",car
The flower show!,flower
"I just need a head start, that's all.",head
(phone chimes),phone
My head feels a lot better.,head
"Okay, I'll take that hard hat back.",hat
"Here is my hand , and my heart with it .",hand
grave smile of surprise.,smile
How are you today Signora Isabella?,today
In my hand I have an electrical contact.,hand
She whistles like a bird and eats like a horse.,bird
and mouth .,mouth
He's driving a bus.,bus
who's gonna be daddy's best friend ?,daddy
is she gonna put what on her hair .,hair
what does the baby chick say ?,baby
"No, wait.",wait
not interested in reading today either ?,today
"-Wait, wait, wait, wait, wait.",wait
- Or wait until we return.,wait
Break it up!,break
"I can help you now, if you want.",help
He's the chair of the Senate Environment Committee.,chair
there's a car on your shelf ?,car
I know about you and the girl.,girl
mommy's making a bit of a mess .,mommy
"Dungeness light, 94",light
what's in her box ?,box
here i'll help you .,help
"It's the moon, Mercury.",moon
what do you mean maybe today but really tomorrow ?,today
I don't want your help.,help
You have the keys in it?,keys
car likewise becomes a triumphal car.,car
Eleven banana cream pies!,banana
rain .,rain
a chair .,chair
yeah meow that's right ?,meow
-How do you say Banana Daiquiri?,banana
yeah push him in ?,push
( Rock Music Playing ),rock
pink cup !,cup
It's in my head.,head
do you know what her cat's names are ?,cat
"It's like a rock, Gemma.",rock
we'll talk to daddy about fixing that i think .,daddy
